0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char
2,0.8646383355502779,0.8533428577254842,0.8518789554661204,0.8518524374372292,0.8518518540080349,32.0,56.0,24.0,35.55555555555556,6.057613168724282,32.0,9.0,79.0,70.0,68.62962962962963,17.668038408779147,79.0,72.64,137.327,64.687,82.22325925925927,16.327034293552817,72.64,1000.0,1211.4,211.4000000000001,1180.0814814814814,53.357475994513145,1211.4,2.0,14.0,12.0,12.222222222222221,3.028806584362141,14.0,4.0,6.0,2.0,4.296296296296297,0.5048010973936903,4.0,120.0,215.0,95.0,134.07407407407408,23.978052126200275,120.0,0.89,2.01,1.1199999999999997,1.844074074074074,0.2826886145404663,2.01,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.7037037037037037,0.50480109739369,2.0,0.0,10.0,10.0,8.518518518518519,2.5240054869684494,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,12.0,12.222222222222221,3.028806584362141,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.4074074074074074,1.00960219478738,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.4074074074074074,1.00960219478738,4.0,23.005,63.59,40.58500000000001,29.017592592592592,10.243676268861455,23.005,0.0,0.383,0.383,0.3262592592592593,0.0966694101508916,0.383,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,225.59259259259258,1.009602194787372,225.0,2.0,1.7037037037037037,8.518518518518519,0.0,False,0.269188705779996,0.033971688520932276
3,0.6236095644623235,0.5503212081491045,0.5128974808990104,0.5041104334909742,0.5008612172408381,6.0,42.0,36.0,26.333333333333332,15.666666666666664,42.0,50.0,77.0,27.0,62.166666666666664,12.166666666666666,50.0,12.0107,95.96,83.9493,58.975629533333326,36.98437046666667,95.96,933.47,3823.0,2889.5299999999997,2396.3233333333333,975.2355555555556,2896.0,6.0,14.0,8.0,9.666666666666666,3.6666666666666665,6.0,2.0,5.0,3.0,3.8333333333333335,1.1666666666666667,5.0,76.0,154.0,78.0,130.0,24.0,154.0,1.61,2.55,0.9399999999999997,2.0416666666666665,0.28777777777777785,2.16,1.0,2.0,1.0,1.5,0.5,1.0,0.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.0,0.0,5.0,5.0,2.5,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.666666666666667,1.3333333333333333,6.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,5.0,5.0,2.3333333333333335,2.333333333333333,0.0,0.0,5.0,5.0,2.5,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.333333333333333,0.6666666666666666,6.0,5.64,16.48,10.84,14.278333333333334,2.879444444444444,15.69,0.0,4.496,4.496,0.7493333333333334,1.248888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,221.83333333333334,9.277777777777771,229.0,1.5,0.6666666666666666,2.5,0.0,False,0.1982031440330586,0.026259908363611965
2,0.8174350127074324,0.7949156721334408,0.7902095982513911,0.7900105841751901,0.7900001391710108,23.0,31.0,8.0,24.68,2.6544,23.0,46.0,74.0,28.0,51.88,9.290400000000002,46.0,50.9415,69.723,18.7815,54.885615,6.231701700000002,50.9415,302.91,2183.0,1880.09,1788.1811000000002,623.8138619999999,2183.0,5.0,13.0,8.0,6.68,2.6544,5.0,4.0,4.0,0.0,4.0,0.0,4.0,122.0,153.0,31.0,146.49,10.285799999999995,153.0,1.63,1.81,0.18000000000000016,1.6678000000000002,0.059724000000000194,1.63,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.21,0.3318,0.0,3.0,10.0,7.0,4.470000000000001,2.3226000000000004,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0,6.68,2.6544,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.05,1.6590000000000003,0.0,0.0,7.0,7.0,5.53,2.3225999999999996,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,6.58,0.6636,7.0,13.01,18.8575,5.847500000000002,14.237975,1.9402005000000009,13.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,194.35,54.747,229.0,2.0,0.21,4.470000000000001,0.0,False,0.008067283394428859,0.0013383623151357476
4,0.6121570509036136,0.5625887056854515,0.5499929418017085,0.5492082427019537,0.5491449758341306,8.0,83.0,75.0,28.829576194770066,22.876847434833124,8.0,8.0,87.0,79.0,70.49864743011723,23.714326833246467,87.0,15.9994,208.9804,192.981,68.00569395852119,57.92209633289725,15.9994,54.8,1357.77,1302.97,440.06330027051393,423.12957595084407,54.8,2.0,16.0,14.0,12.84400360685302,4.243825215610292,16.0,2.0,6.0,4.0,3.442741208295762,1.5845435452698267,2.0,66.0,195.0,129.0,110.00360685302074,48.32857813072972,66.0,0.95,3.44,2.49,2.595996393146979,0.9269579739828487,3.44,1.0,2.0,1.0,1.909828674481515,0.16408091514544895,2.0,0.0,4.0,4.0,2.7376014427412083,1.481118904999752,4.0,0.0,10.0,10.0,2.7051397655545535,3.946723300872198,0.0,0.0,14.0,14.0,2.5247971145175834,4.138937019109979,0.0,2.0,29.0,27.0,9.87736699729486,7.0997112728792455,6.0,0.0,1.0,1.0,0.09017132551848513,0.16408091514544904,0.0,0.0,3.0,3.0,1.6393146979260595,0.8869150755235669,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.7294860234445446,0.7553576321611603,2.0,9.105,54.23,45.125,21.720419296663664,15.776072644426575,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,69.61947700631198,84.06520630857781,12.0,1.909828674481515,2.7376014427412083,2.7051397655545535,2.5247971145175834,False,0.7877573323062756,0.15081352154462158
3,0.690108687092113,0.6146288548745372,0.5607251248391892,0.5393001836964011,0.5240198099602638,26.0,34.0,8.0,30.025,3.975,34.0,55.0,89.0,34.0,72.075,16.924999999999997,89.0,55.845,78.96,23.114999999999995,67.479704875,11.480295124999998,78.96,494.0,1811.0,1317.0,1151.425,657.425,494.0,8.0,16.0,8.0,12.024999999999999,3.975,16.0,4.0,4.0,0.0,4.0,0.0,4.0,120.0,132.0,12.0,125.85,5.85,120.0,1.83,2.55,0.7199999999999998,2.1912499999999997,0.3587499999999999,2.55,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,4.0,6.0,10.0,4.0,8.024999999999999,1.975,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,8.0,12.024999999999999,3.975,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.9749999999999999,1.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.9749999999999996,0.975,2.0,10.245,25.92,15.675000000000002,18.312875000000002,7.607125,25.92,0.0,0.799,0.799,0.3995,0.3995,0.799,0.0,2.1106628,2.1106628,1.0412766100000002,1.0412766100000002,0.0,14.0,229.0,215.0,120.625,106.625,14.0,2.0,2.0,8.024999999999999,0.0,True,0.12155326065006866,0.030203279958398263
4,0.5902965356496682,0.5098512958740551,0.46002703460875327,0.44169988558028295,0.42871244245960943,19.0,56.0,37.0,33.504999999999995,7.423349999999997,26.0,3.0,84.0,81.0,57.19,21.448,55.0,39.0983,137.327,98.2287,76.3340355,20.127678285000002,55.845,336.53,1811.0,1474.47,1337.17855,379.05716,1090.0,1.0,15.0,14.0,9.565,4.348,8.0,4.0,6.0,2.0,4.33,0.5511,4.0,119.0,215.0,96.0,142.98,27.967999999999996,119.0,0.82,2.18,1.3600000000000003,1.77955,0.3607200000000001,1.83,1.0,2.0,1.0,1.9650000000000003,0.06754999999999972,2.0,0.0,3.0,3.0,1.2,1.44,0.0,0.0,10.0,10.0,6.4,2.88,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,9.565,4.348,8.0,0.0,1.0,1.0,0.034999999999999996,0.06755,0.0,0.0,3.0,3.0,1.2,1.44,0.0,0.0,4.0,4.0,1.6,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.835,1.064,3.0,10.73,73.1066666667,62.37666666669999,26.2130833333345,15.6169333333352,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.84426512,1.013118144,0.0,166.0,229.0,63.0,203.8,30.24,166.0,1.9650000000000003,1.2,6.4,0.0,False,0.37022961859899695,0.048711051928569324
2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,6.0,74.0,68.0,40.0,34.0,6.0,51.0,77.0,26.0,64.0,13.0,51.0,12.0107,183.84,171.8293,97.92535000000001,85.91465,12.0107,3695.0,3823.0,128.0,3759.0,64.0,3695.0,6.0,14.0,8.0,10.0,4.0,6.0,2.0,6.0,4.0,4.0,2.0,2.0,76.0,162.0,86.0,119.0,43.0,76.0,2.36,2.55,0.18999999999999995,2.455,0.09499999999999997,2.36,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,14.0,14.0,7.0,7.0,0.0,4.0,20.0,16.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.0,1.0,4.0,5.64,16.05,10.41,10.845,5.205,5.64,0.0,4.496,4.496,2.248,2.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0,2.0,1.0,2.0,7.0,True,0.008984396926888127,0.002246099231722032
5,0.5957945982103507,0.5379695660246695,0.5188260652187455,0.5168946324860655,0.5166313822736458,8.0,38.0,30.0,16.987915407854985,9.286607460684003,8.0,7.0,87.0,80.0,61.939577039274916,26.826973101742414,87.0,15.9994,87.62,71.62060000000001,36.00878519637462,20.674349659094023,15.9994,54.8,2180.0,2125.2,634.4518126888217,598.9151659805954,54.8,2.0,16.0,14.0,11.332326283987916,4.822792782103121,16.0,2.0,5.0,3.0,3.027190332326284,1.0613265669353145,2.0,66.0,195.0,129.0,109.7915407854985,45.246848787433485,66.0,0.95,3.44,2.49,2.4714199395770393,1.000768521645476,3.44,1.0,2.0,1.0,1.758308157099698,0.3665537919515156,2.0,0.0,4.0,4.0,2.066465256797583,1.9977911848194156,4.0,0.0,10.0,10.0,2.3413897280966767,3.5509898595303073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,6.166163141993958,2.1905605096704117,6.0,0.0,1.0,1.0,0.2416918429003021,0.3665537919515156,0.0,0.0,2.0,2.0,1.0332326283987916,0.9988955924097078,2.0,0.0,5.0,5.0,0.0755287009063444,0.14877556794844882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.350453172205438,0.8116026688328876,2.0,9.105,54.23,45.125,17.50439577039275,11.785186334553353,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,115.02114803625376,106.4448115661595,12.0,1.758308157099698,2.066465256797583,2.3413897280966767,0.0,False,0.7877573323062756,0.16446555652212114
3,0.796084166404533,0.7780318283844269,0.7750911459494395,0.7750033145151544,0.7750000267095561,13.0,41.0,28.0,36.050000000000004,8.067499999999995,41.0,44.0,73.0,29.0,51.400000000000006,7.560000000000004,47.0,26.9815386,92.90638,65.92484139999999,81.285413755,19.006356304250005,92.90638,933.47,2750.0,1816.53,2401.00725,540.9387624999999,2750.0,4.0,13.0,9.0,6.35,2.3274999999999997,5.0,3.0,5.0,2.0,4.65,0.5774999999999997,5.0,121.0,175.0,54.0,157.02500000000003,12.608749999999977,164.0,1.33,1.61,0.28,1.5882500000000002,0.02582499999999994,1.6,1.0,2.0,1.0,1.225,0.34875000000000006,1.0,0.0,1.0,1.0,0.175,0.28874999999999995,0.0,0.0,4.0,4.0,3.2,1.2399999999999998,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.6,0.6200000000000001,5.0,0.0,1.0,1.0,0.775,0.34875,1.0,0.0,5.0,5.0,0.875,1.4437499999999999,0.0,0.0,8.0,8.0,5.050000000000001,1.7674999999999996,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.7,0.5949999999999999,7.0,16.48,23.195,6.715,18.13325,0.5786374999999995,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,226.54999999999998,3.7975000000000096,229.0,1.225,0.175,3.2,0.0,False,0.019409168797571597,0.0008730430589234038
4,0.6277169250848664,0.5604320836651573,0.5307628804306466,0.5255927843211378,0.5242505341450961,8.0,38.0,30.0,16.507014028056112,8.916169011369432,8.0,7.0,87.0,80.0,66.06312625250501,21.94385765519014,87.0,15.9994,87.62,71.62060000000001,34.7523509018036,19.65489643615889,15.9994,54.8,1357.77,1302.97,632.055511022044,605.0193031353288,54.8,2.0,16.0,14.0,12.042084168336673,4.14827651294573,16.0,2.0,5.0,3.0,2.9569138276553106,1.0029377392058667,2.0,66.0,195.0,129.0,105.22344689378758,41.10994534158497,66.0,0.95,3.44,2.49,2.5489679358717434,0.9338873137055673,3.44,1.0,2.0,1.0,1.6993987975951903,0.4204802390351846,2.0,0.0,4.0,4.0,2.096192384769539,1.9953735125561747,4.0,0.0,10.0,10.0,3.006012024048096,4.204802390351845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,6.801603206412825,2.524086248649603,6.0,0.0,1.0,1.0,0.3006012024048096,0.42048023903518456,0.0,0.0,2.0,2.0,1.0480961923847696,0.9976867562780873,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3486973947895793,0.6826277806113229,2.0,9.105,54.23,45.125,14.804574148296593,8.218936921940072,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,113.37775551102204,106.2536395436163,12.0,1.6993987975951903,2.096192384769539,3.006012024048096,0.0,False,0.7877573323062756,0.15133515425093233
